category,food_id,food_name,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,metric_serving_amount,metric_serving_unit,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,serving_description,serving_id,serving_url,sodium,sugar,vitamin_a,vitamin_c,,,,,,
vegetables,6511,Cooked Corn (Canned),5,98,18.13,0,3.17,1.9,0.84,g,100,g,1.32,100,1.101,190,2.55,0.562,100 g,55191,https://www.fatsecret.com/calories-nutrition/generic/corn-cooked-from-canned-ns-as-to-fat-added-in-cooking?portionid=55191&portionamount=100.000,226,3.4,27,7.8,,,,,,
vegetables,36882,"""Summer Squash (with Salt", Drained, Cooked," Boiled)""",27,20,4.31,0,0.31,1.4,0.36,g,100,g,0.023,100,0.131,192,0.91,0.064,100 g,59613,https://www.fatsecret.com/calories-nutrition/usda/summer-squash-(with-salt-drained-cooked-boiled)?portionid=59613&portionamount=100.000,237,2.59,11,5.5,,,
vegetables,6510,Cooked Corn (from Frozen),3,98,18.71,0,2.83,2.3,0.46,g,100,g,1.221,100,0.947,226,2.47,0.509,100 g,55190,https://www.fatsecret.com/calories-nutrition/generic/corn-cooked-from-frozen-ns-as-to-fat-added-in-cooking?portionid=55190&portionamount=100.000,238,2.97,32,3.4,,,,,,
vegetables,36408,Leeks,59,61,14.15,0,0.3,1.8,2.1,g,100,g,0.004,100,0.166,180,1.5,0.04,100 g,59139,https://www.fatsecret.com/calories-nutrition/usda/leeks?portionid=59139&portionamount=100.000,20,3.9,83,12,,,,,,
vegetables,6509,Cooked Celery (Fat Added in Cooking),41,39,3.93,0,2.54,1.5,0.41,g,100,g,1.153,100,0.77,275,0.81,0.486,100 g,55189,https://www.fatsecret.com/calories-nutrition/generic/celery-cooked-fat-added-in-cooking?portionid=55189&portionamount=100.000,307,2.29,53,5.9,,,,,,
vegetables,6502,"""Cooked Brussels Sprouts (from Frozen"," Fat Not Added in Cooking)""",26,42,8.27,0,0.39,4.1,0.48,g,100,g,0.03,100,0.199,288,3.62,0.081,100 g,55182,https://www.fatsecret.com/calories-nutrition/generic/brussels-sprouts-cooked-from-frozen-fat-not-added-in-cooking?portionid=55182&portionamount=100.000,253,2.07,46,45.4,,,,,
vegetables,36883,"""Crookneck and Straightneck Summer Squash (with Salt", Drained, Cooked," Boiled)""",22,20,4.31,0,0.31,1.4,0.37,g,100,g,0.023,100,0.131,170,0.91,0.064,100 g,59614,https://www.fatsecret.com/calories-nutrition/usda/crookneck-and-straightneck-summer-squash-(with-salt-drained-cooked-boiled)?portionid=59614&portionamount=100.000,0,2.43,8,5.5,,,
fruits,5366,Fruit,12,58,15.02,0,0.2,2.2,0.16,g,100,g,0.017,100,0.054,212,0.7,0.052,100 g,54046,https://www.fatsecret.com/calories-nutrition/generic/fruit?portionid=54046&portionamount=100.000,2,10.17,26,19.3,,,,,,
fruits,5537,Fruit Cocktail or Mix (Excluding Citrus Fruits),8,55,14.15,0,0.2,2,0.24,g,100,g,0.035,100,0.058,179,0.7,0.03,100 g,54217,https://www.fatsecret.com/calories-nutrition/generic/fruit-cocktail-or-mix-(excluding-citrus-fruits)-raw?portionid=54217&portionamount=100.000,1,10,6,12.4,,,,,,
fruits,35976,Strawberries,16,32,7.68,0,0.3,2,0.42,g,100,g,0.043,100,0.155,153,0.67,0.015,100 g,58707,https://www.fatsecret.com/calories-nutrition/usda/strawberries?portionid=58707&portionamount=100.000,1,4.66,1,58.8,,,,,,
